GEOID,2023 Median Household Income
471650211.03,78466
471650211.04,57066
471650211.05,62179
471650211.06,55512
471650211.07,63756
471650212.01,112224
471650212.03,105496
471650212.04,77996
471650212.05,96770
471690901.0,58836
471690902.0,51572
471759250.0,51207
471759252.0,48511
471779301.0,48281
471779302.01,68364
471779302.02,55090
471779303.0,56713
471779304.0,41472
471779305.0,36501
471779306.0,43994
471779307.0,55057
471779308.0,55443
471779309.0,52307
471819501.0,49214
471819502.0,61230
471819503.0,43785
471819504.0,51240
471839680.0,54093
471839681.01,47394
471839681.02,66242
471839682.01,52094
471839682.02,12339
471839682.03,34438
471839683.0,45201
471839684.0,50588
471839685.0,49649
471839686.0,41673
471839687.0,50934
471859350.0,51076
471859351.0,58969
471859352.0,42185
471859353.0,53424
471859354.0,34475
471859355.0,50784
471870501.02,154413
471870501.03,137260
471870501.04,172456
471870501.05,190423
471870502.04,177246
471870502.05,132347
471870502.06,188013
471870502.07,200001
471870502.09,198042
471870502.1,200001
471870502.11,93001
471870502.12,200001
471870503.03,200001
471870503.04,140632
471870503.05,200001
471870503.06,129033
471870503.07,71249
471870504.03,152561
471870504.04,200001
471870504.05,200001
471870504.06,157201
471870505.02,80705
471870505.03,79196
471870505.04,70400
471870506.01,88525
471870506.03,100728
471870506.04,145350
471870507.01,89646
471870507.02,156181
471870508.01,54526
471870508.02,79781
471870509.04,83759
471870509.05,102216
471870509.06,127911
471870509.07,101468
471870509.08,151591
471870509.09,174256
471870510.01,170616
471870510.02,155700
471870511.0,145539
471870512.03,85784
471870512.04,127140
471870512.05,105831
471870512.06,82963
471870512.07,96167
471870512.08,108779
471890301.02,86231
471890301.03,101524
471890301.04,110738
471890301.05,81689
471890302.02,82799
471890302.03,118199
471890302.05,89841
471890302.06,113333
471890302.07,100372
471890303.03,111034
471890303.04,91684
471890303.05,97548
471890303.08,110352
471890303.09,96566
471890303.1,109765
471890303.11,70633
471890304.01,51765
471890304.02,51852
471890305.0,52878
471890306.0,50746
471890307.0,39327
471890308.0,62141
471890309.04,84955
471890309.05,110728
471890309.06,105389
471890309.07,83169
471890309.08,103162
471890310.0,65332
